Code,Class,Description,Value in USD T,AAL in USD T,AAL as % of Total AAL,AAL as % of Value,Risk Rank,costMetro,costUrban,costRural
HN-CL,avmRM2,Reinforced masonry bearing walls with concrete diaphragms multi family,18,0,0.0186,0.0002,9,330,310,290
HN-CL,avsRS,Rubble Stone masonry single family,3,0,0.0027,0.00017,10,,,
HN-CL,avsRS5,Local field stones with cement mortar and reinforced concrete bond beams single family,0,0,0.0002,0.00018,11,,,
HN-CL,avmRS5,Local field stones with cement mortar and reinforced concrete bond beams multi family,0,0,0,0.0002,12,,,
HN-CL,avsUFB1,Unreinforced brick masonry in mud mortar without timber posts single family,13,0,0.0123,0.00018,13,250,230,200
HN-CL,avsUFB2,Unreinforced brick masonry in mud mortar with timber posts single family,26,0,0.0253,0.00018,14,270,250,215
HN-CL,avmRS,Rubble Stone masonry multi family,0,0,0.0001,0.0002,15,,,
HN-CL,avsUFB3,Unreinforced fired brick masonry in lime mortar single family,17,0,0.0173,0.00019,16,280,270,225
HN-CL,avsUFB4,Unreinforced fired brick masonry in cement mortar single family,6,0,0.0062,0.00019,17,320,290,260
HN-CL,avmUFB2,Unreinforced brick masonry in mud mortar with timber posts multi family,1,0,0.0006,0.0002,18,290,275,215
HN-CL,avmUFB3,Unreinforced fired brick masonry in lime mortar multi family,1,0,0.0015,0.0002,19,310,295,230
HN-CL,avmUFB1,Unreinforced brick masonry in mud mortar without timber posts multi family,0,0,0.0003,0.0002,20,275,255,195
HN-CL,avmUFB4,Unreinforced fired brick masonry in cement mortar multi family,1,0,0.0009,0.0002,21,350,320,245
HN-CL,avsW1,Wood stud-wall frame with plywood/gypsum board sheathing single family,71,0,0.0264,0.00007,22,,,
HN-CL,avmW1,Wood stud-wall frame with plywood/gypsum board sheathing multi family,3,0,0.0013,0.00008,23,,,
HN-CL,avcomm,Commercial or other types of warehouse,52,0,0.0078,0.00003,24,,,
HN-CL,avcomoff,Commercial offices,42,0,0.0065,0.00003,25,,,
HN-CL,avcritica,"Critical buildings - schools, hospitals, medical centers",63,0,0.0098,0.00003,26,,,
HN-CL,avcomret,Commercial retail,28,0,0.0043,0.00003,27,,,
HN-CL,avmC3,Non ductile reinforced concrete frame with masonry infill walls multi family and/or concrete frame high rise,4,0,0.0005,0.00003,28,360,335,310
HN-CL,avindustr,General industrial,28,0,0.0036,0.00002,29,,,
HN-CM,avsA1,"Adobe block, mud mortar, wood
roof and floors single family",175,0.34,0.2957,0.00195,1,145,130,115
HN-CM,avsINF,Informal constructions single family,2,0,0.0035,0.00213,2,,,
HN-CM,avmA1,"Adobe block, mud mortar, wood roof and floors multi family",1,0,0.0028,0.0023,3,160,150,120
HN-CM,avmW7,Wood braced frame with load-bearing infill wall system multi family,0,0,0,0.00189,4,,,
HN-CM,avsW7,Wood braced frame with load-bearing infill wall system single family,57,0.11,0.0967,0.00197,5,,,
HN-CM,avsRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms single family,346,0.29,0.2497,0.00083,6,,,
HN-CM,avmRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms multi family,19,0.02,0.0149,0.00089,7,,,
HN-CM,avsRM2,Reinforced masonry bearing walls with concrete diaphragms single family,135,0.12,0.1011,0.00087,8,300,280,260
HN-CM,avmRM2,Reinforced masonry bearing walls with concrete diaphragms multi family,25,0.02,0.0196,0.00089,9,330,310,290
HN-CM,avsRS,Rubble Stone masonry single family,3,0,0.0022,0.00079,10,,,
HN-CM,avsRS5,Local field stones with cement mortar and reinforced concrete bond beams single family,0,0,0.0002,0.00083,11,,,
HN-CM,avmRS5,Local field stones with cement mortar and reinforced concrete bond beams multi family,0,0,0,0.00089,12,,,
HN-CM,avsUFB1,Unreinforced brick masonry in mud mortar without timber posts single family,16,0.01,0.0114,0.00084,13,250,230,200
HN-CM,avsUFB2,Unreinforced brick masonry in mud mortar with timber posts single family,33,0.03,0.0239,0.00085,14,270,250,215
HN-CM,avmRS,Rubble Stone masonry multi family,0,0,0.0001,0.00089,15,,,
HN-CM,avsUFB3,Unreinforced fired brick masonry in lime mortar single family,23,0.02,0.0174,0.00088,16,280,270,225
HN-CM,avsUFB4,Unreinforced fired brick masonry in cement mortar single family,8,0.01,0.0063,0.00087,17,320,290,260
HN-CM,avmUFB2,Unreinforced brick masonry in mud mortar with timber posts multi family,1,0,0.0007,0.00089,18,290,275,215
HN-CM,avmUFB3,Unreinforced fired brick masonry in lime mortar multi family,2,0,0.0016,0.00089,19,310,295,230
HN-CM,avmUFB1,Unreinforced brick masonry in mud mortar without timber posts multi family,0,0,0.0003,0.00089,20,275,255,195
HN-CM,avmUFB4,Unreinforced fired brick masonry in cement mortar multi family,1,0,0.0009,0.00089,21,350,320,245
HN-CM,avsW1,Wood stud-wall frame with plywood/gypsum board sheathing single family,75,0.05,0.0474,0.00073,22,,,
HN-CM,avmW1,Wood stud-wall frame with plywood/gypsum board sheathing multi family,4,0,0.0029,0.0008,23,,,
HN-CM,avcomm,Commercial or other types of warehouse,115,0.03,0.0245,0.00025,24,,,
HN-CM,avcomoff,Commercial offices,87,0.02,0.0202,0.00027,25,,,
HN-CM,avcritica,"Critical buildings - schools, hospitals, medical centers",128,0.03,0.0302,0.00027,26,,,
HN-CM,avcomret,Commercial retail,54,0.02,0.0131,0.00028,27,,,
HN-CM,avmC3,Non ductile reinforced concrete frame with masonry infill walls multi family and/or concrete frame high rise,5,0,0.0013,0.0003,28,360,335,310
HN-CM,avindustr,General industrial,61,0.01,0.0112,0.00021,29,,,
HN-CP,avsA1,"Adobe block, mud mortar, wood
roof and floors single family",237,0.92,0.4064,0.00386,1,145,130,115
HN-CP,avsINF,Informal constructions single family,2,0.01,0.0034,0.00388,2,,,
HN-CP,avmA1,"Adobe block, mud mortar, wood roof and floors multi family",1,0,0.0019,0.0039,3,160,150,120
HN-CP,avmW7,Wood braced frame with load-bearing infill wall system multi family,0,0,0,0.00374,4,,,
HN-CP,avsW7,Wood braced frame with load-bearing infill wall system single family,83,0.31,0.1386,0.00375,5,,,
HN-CP,avsRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms single family,320,0.47,0.2083,0.00146,6,,,
HN-CP,avmRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms multi family,14,0.02,0.009,0.00147,7,,,
HN-CP,avsRM2,Reinforced masonry bearing walls with concrete diaphragms single family,107,0.16,0.0698,0.00147,8,300,280,260
HN-CP,avmRM2,Reinforced masonry bearing walls with concrete diaphragms multi family,17,0.03,0.0112,0.00147,9,330,310,290
HN-CP,avsRS,Rubble Stone masonry single family,4,0.01,0.0024,0.00146,10,,,
HN-CP,avsRS5,Local field stones with cement mortar and reinforced concrete bond beams single family,0,0,0.0002,0.00146,11,,,
HN-CP,avmRS5,Local field stones with cement mortar and reinforced concrete bond beams multi family,0,0,0,0.00147,12,,,
HN-CP,avsUFB1,Unreinforced brick masonry in mud mortar without timber posts single family,14,0.02,0.0092,0.00146,13,250,230,200
HN-CP,avsUFB2,Unreinforced brick masonry in mud mortar with timber posts single family,28,0.04,0.0184,0.00147,14,270,250,215
HN-CP,avmRS,Rubble Stone masonry multi family,0,0,0.0001,0.00147,15,,,
HN-CP,avsUFB3,Unreinforced fired brick masonry in lime mortar single family,17,0.03,0.0113,0.00147,16,280,270,225
HN-CP,avsUFB4,Unreinforced fired brick masonry in cement mortar single family,6,0.01,0.0041,0.00147,17,320,290,260
HN-CP,avmUFB2,Unreinforced brick masonry in mud mortar with timber posts multi family,1,0,0.0004,0.00147,18,290,275,215
HN-CP,avmUFB3,Unreinforced fired brick masonry in lime mortar multi family,1,0,0.0009,0.00147,19,310,295,230
HN-CP,avmUFB1,Unreinforced brick masonry in mud mortar without timber posts multi family,0,0,0.0002,0.00147,20,275,255,195
HN-CP,avmUFB4,Unreinforced fired brick masonry in cement mortar multi family,1,0,0.0005,0.00147,21,350,320,245
HN-CP,avsW1,Wood stud-wall frame with plywood/gypsum board sheathing single family,92,0.11,0.0508,0.00125,22,,,
HN-CP,avmW1,Wood stud-wall frame with plywood/gypsum board sheathing multi family,3,0,0.0018,0.00127,23,,,
HN-CP,avcomm,Commercial or other types of warehouse,74,0.03,0.0148,0.00045,24,,,
HN-CP,avcomoff,Commercial offices,49,0.02,0.0099,0.00045,25,,,
HN-CP,avcritica,"Critical buildings - schools, hospitals, medical centers",70,0.03,0.0142,0.00045,26,,,
HN-CP,avcomret,Commercial retail,27,0.01,0.0054,0.00045,27,,,
HN-CP,avmC3,Non ductile reinforced concrete frame with masonry infill walls multi family and/or concrete frame high rise,4,0,0.0008,0.00049,28,360,335,310
HN-CP,avindustr,General industrial,37,0.01,0.0061,0.00037,29,,,
HN-CR,avsA1,"Adobe block, mud mortar, wood
roof and floors single family",512,1.18,0.224,0.0023,1,145,130,115
HN-CR,avsINF,Informal constructions single family,9,0.02,0.0038,0.00229,2,,,
HN-CR,avmA1,"Adobe block, mud mortar, wood roof and floors multi family",9,0.02,0.0039,0.00229,3,160,150,120
HN-CR,avmW7,Wood braced frame with load-bearing infill wall system multi family,0,0,0,0.0016,4,,,
HN-CR,avsW7,Wood braced frame with load-bearing infill wall system single family,128,0.2,0.0382,0.00157,5,,,
HN-CR,avsRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms single family,1876,1.74,0.3307,0.00093,6,,,
HN-CR,avmRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms multi family,129,0.12,0.0228,0.00093,7,,,
HN-CR,avsRM2,Reinforced masonry bearing walls with concrete diaphragms single family,835,0.77,0.1471,0.00093,8,300,280,260
HN-CR,avmRM2,Reinforced masonry bearing walls with concrete diaphragms multi family,175,0.16,0.0308,0.00093,9,330,310,290
HN-CR,avsRS,Rubble Stone masonry single family,14,0.01,0.0025,0.00093,10,,,
HN-CR,avsRS5,Local field stones with cement mortar and reinforced concrete bond beams single family,2,0,0.0003,0.00093,11,,,
HN-CR,avmRS5,Local field stones with cement mortar and reinforced concrete bond beams multi family,0,0,0,0.00093,12,,,
HN-CR,avsUFB1,Unreinforced brick masonry in mud mortar without timber posts single family,87,0.08,0.0154,0.00093,13,250,230,200
HN-CR,avsUFB2,Unreinforced brick masonry in mud mortar with timber posts single family,188,0.17,0.0331,0.00093,14,270,250,215
HN-CR,avmRS,Rubble Stone masonry multi family,1,0,0.0002,0.00093,15,,,
HN-CR,avsUFB3,Unreinforced fired brick masonry in lime mortar single family,148,0.14,0.0261,0.00093,16,280,270,225
HN-CR,avsUFB4,Unreinforced fired brick masonry in cement mortar single family,53,0.05,0.0093,0.00093,17,320,290,260
HN-CR,avmUFB2,Unreinforced brick masonry in mud mortar with timber posts multi family,6,0.01,0.001,0.00093,18,290,275,215
HN-CR,avmUFB3,Unreinforced fired brick masonry in lime mortar multi family,14,0.01,0.0024,0.00093,19,310,295,230
HN-CR,avmUFB1,Unreinforced brick masonry in mud mortar without timber posts multi family,3,0,0.0005,0.00093,20,275,255,195
HN-CR,avmUFB4,Unreinforced fired brick masonry in cement mortar multi family,8,0.01,0.0015,0.00093,21,350,320,245
HN-CR,avsW1,Wood stud-wall frame with plywood/gypsum board sheathing single family,275,0.15,0.0276,0.00053,22,,,
HN-CR,avmW1,Wood stud-wall frame with plywood/gypsum board sheathing multi family,27,0.01,0.0027,0.00052,23,,,
HN-CR,avcomm,Commercial or other types of warehouse,426,0.08,0.0161,0.0002,24,,,
HN-CR,avcomoff,Commercial offices,411,0.08,0.0155,0.0002,25,,,
HN-CR,avcritica,"Critical buildings - schools, hospitals, medical centers",633,0.13,0.0238,0.0002,26,,,
HN-CR,avcomret,Commercial retail,302,0.06,0.0113,0.0002,27,,,
HN-CR,avmC3,Non ductile reinforced concrete frame with masonry infill walls multi family and/or concrete frame high rise,36,0.01,0.0013,0.0002,28,360,335,310
HN-CR,avindustr,General industrial,257,0.04,0.0081,0.00017,29,,,
HN-EP,avsA1,"Adobe block, mud mortar, wood
roof and floors single family",163,0.18,0.3286,0.00109,1,145,130,115
HN-EP,avsINF,Informal constructions single family,2,0,0.0029,0.00103,2,,,
HN-EP,avmA1,"Adobe block, mud mortar, wood roof and floors multi family",1,0,0.0018,0.00096,3,160,150,120
HN-EP,avmW7,Wood braced frame with load-bearing infill wall system multi family,0,0,0,0.00171,4,,,
HN-EP,avsW7,Wood braced frame with load-bearing infill wall system single family,55,0.09,0.1733,0.00169,5,,,
HN-EP,avsRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms single family,263,0.1,0.1841,0.00038,6,,,
HN-EP,avmRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms multi family,13,0,0.0087,0.00035,7,,,
HN-EP,avsRM2,Reinforced masonry bearing walls with concrete diaphragms single family,96,0.03,0.0648,0.00036,8,300,280,260
HN-EP,avmRM2,Reinforced masonry bearing walls with concrete diaphragms multi family,17,0.01,0.011,0.00035,9,330,310,290
HN-EP,avsRS,Rubble Stone masonry single family,3,0,0.002,0.00039,10,,,
HN-EP,avsRS5,Local field stones with cement mortar and reinforced concrete bond beams single family,0,0,0.0002,0.00038,11,,,
HN-EP,avmRS5,Local field stones with cement mortar and reinforced concrete bond beams multi family,0,0,0,0.00035,12,,,
HN-EP,avsUFB1,Unreinforced brick masonry in mud mortar without timber posts single family,12,0,0.0082,0.00037,13,250,230,200
HN-EP,avsUFB2,Unreinforced brick masonry in mud mortar with timber posts single family,24,0.01,0.0166,0.00037,14,270,250,215
HN-EP,avmRS,Rubble Stone masonry multi family,0,0,0.0001,0.00035,15,,,
HN-EP,avsUFB3,Unreinforced fired brick masonry in lime mortar single family,16,0.01,0.0107,0.00036,16,280,270,225
HN-EP,avsUFB4,Unreinforced fired brick masonry in cement mortar single family,6,0,0.0039,0.00036,17,320,290,260
HN-EP,avmUFB2,Unreinforced brick masonry in mud mortar with timber posts multi family,1,0,0.0004,0.00035,18,290,275,215
HN-EP,avmUFB3,Unreinforced fired brick masonry in lime mortar multi family,1,0,0.0009,0.00035,19,310,295,230
HN-EP,avmUFB1,Unreinforced brick masonry in mud mortar without timber posts multi family,0,0,0.0002,0.00035,20,275,255,195
HN-EP,avmUFB4,Unreinforced fired brick masonry in cement mortar multi family,1,0,0.0005,0.00035,21,350,320,245
HN-EP,avsW1,Wood stud-wall frame with plywood/gypsum board sheathing single family,66,0.04,0.0749,0.00061,22,,,
HN-EP,avmW1,Wood stud-wall frame with plywood/gypsum board sheathing multi family,3,0,0.0032,0.00058,23,,,
HN-EP,avcomm,Commercial or other types of warehouse,65,0.01,0.0275,0.00023,24,,,
HN-EP,avcomoff,Commercial offices,49,0.01,0.0205,0.00022,25,,,
HN-EP,avcritica,"Critical buildings - schools, hospitals, medical centers",73,0.02,0.03,0.00022,26,,,
HN-EP,avcomret,Commercial retail,31,0.01,0.012,0.00021,27,,,
HN-EP,avmC3,Non ductile reinforced concrete frame with masonry infill walls multi family and/or concrete frame high rise,3,0,0.0012,0.00019,28,360,335,310
HN-EP,avindustr,General industrial,34,0.01,0.012,0.00019,29,,,
HN-FM,avsA1,"Adobe block, mud mortar, wood
roof and floors single family",396,0.69,0.1548,0.00174,1,145,130,115
HN-FM,avsINF,Informal constructions single family,4,0.01,0.0018,0.00184,2,,,
HN-FM,avmA1,"Adobe block, mud mortar, wood roof and floors multi family",5,0.01,0.0021,0.00193,3,160,150,120
HN-FM,avmW7,Wood braced frame with load-bearing infill wall system multi family,0,0,0,0.00183,4,,,
HN-FM,avsW7,Wood braced frame with load-bearing infill wall system single family,92,0.18,0.0405,0.00197,5,,,
HN-FM,avsRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms single family,639,0.44,0.0976,0.00068,6,,,
HN-FM,avmRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms multi family,30,0.02,0.0047,0.00071,7,,,
HN-FM,avsRM2,Reinforced masonry bearing walls with concrete diaphragms single family,257,0.18,0.0403,0.0007,8,300,280,260
HN-FM,avmRM2,Reinforced masonry bearing walls with concrete diaphragms multi family,38,0.03,0.0061,0.00071,9,330,310,290
HN-FM,avsRS,Rubble Stone masonry single family,42,0.03,0.0067,0.00071,10,,,
HN-FM,avsRS5,Local field stones with cement mortar and reinforced concrete bond beams single family,5,0,0.0008,0.00072,11,,,
HN-FM,avmRS5,Local field stones with cement mortar and reinforced concrete bond beams multi family,1,0,0.0001,0.00072,12,,,
HN-FM,avsUFB1,Unreinforced brick masonry in mud mortar without timber posts single family,402,0.29,0.065,0.00072,13,250,230,200
HN-FM,avsUFB2,Unreinforced brick masonry in mud mortar with timber posts single family,865,0.62,0.1401,0.00072,14,270,250,215
HN-FM,avmRS,Rubble Stone masonry multi family,4,0,0.0006,0.00072,15,,,
HN-FM,avsUFB3,Unreinforced fired brick masonry in lime mortar single family,669,0.48,0.1084,0.00072,16,280,270,225
HN-FM,avsUFB4,Unreinforced fired brick masonry in cement mortar single family,255,0.18,0.0413,0.00072,17,320,290,260
HN-FM,avmUFB2,Unreinforced brick masonry in mud mortar with timber posts multi family,38,0.03,0.0062,0.00072,18,290,275,215
HN-FM,avmUFB3,Unreinforced fired brick masonry in lime mortar multi family,92,0.07,0.015,0.00072,19,310,295,230
HN-FM,avmUFB1,Unreinforced brick masonry in mud mortar without timber posts multi family,18,0.01,0.003,0.00072,20,275,255,195
HN-FM,avmUFB4,Unreinforced fired brick masonry in cement mortar multi family,58,0.04,0.0094,0.00072,21,350,320,245
HN-FM,avsW1,Wood stud-wall frame with plywood/gypsum board sheathing single family,524,0.44,0.0978,0.00083,22,,,
HN-FM,avmW1,Wood stud-wall frame with plywood/gypsum board sheathing multi family,44,0.04,0.0084,0.00085,23,,,
HN-FM,avcomm,Commercial or other types of warehouse,228,0.07,0.0151,0.00029,24,,,
HN-FM,avcomoff,Commercial offices,476,0.15,0.0331,0.00031,25,,,
HN-FM,avcritica,"Critical buildings - schools, hospitals, medical centers",779,0.24,0.0542,0.00031,26,,,
HN-FM,avcomret,Commercial retail,415,0.13,0.0284,0.00031,27,,,
HN-FM,avmC3,Non ductile reinforced concrete frame with masonry infill walls multi family and/or concrete frame high rise,8,0,0.0006,0.0003,28,360,335,310
HN-FM,avindustr,General industrial,317,0.08,0.018,0.00025,29,,,
HN-GD,avsA1,"Adobe block, mud mortar, wood
roof and floors single family",96,0.02,0.6117,0.0002,1,145,130,115
HN-GD,avsINF,Informal constructions single family,1,0,0.0039,0.0002,2,,,
HN-GD,avmA1,"Adobe block, mud mortar, wood roof and floors multi family",0,0,0.0012,0.0002,3,160,150,120
HN-GD,avmW7,Wood braced frame with load-bearing infill wall system multi family,0,0,0,0.00006,4,,,
HN-GD,avsW7,Wood braced frame with load-bearing infill wall system single family,36,0,0.0666,0.00006,5,,,
HN-GD,avsRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms single family,81,0.01,0.1973,0.00007,6,,,
HN-GD,avmRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms multi family,2,0,0.0041,0.00008,7,,,
HN-GD,avsRM2,Reinforced masonry bearing walls with concrete diaphragms single family,19,0,0.0473,0.00008,8,300,280,260
HN-GD,avmRM2,Reinforced masonry bearing walls with concrete diaphragms multi family,1,0,0.0038,0.00009,9,330,310,290
HN-GD,avsRS,Rubble Stone masonry single family,1,0,0.0029,0.00007,10,,,
HN-GD,avsRS5,Local field stones with cement mortar and reinforced concrete bond beams single family,0,0,0.0002,0.00007,11,,,
HN-GD,avmRS5,Local field stones with cement mortar and reinforced concrete bond beams multi family,0,0,0,0.00009,12,,,
HN-GD,avsUFB1,Unreinforced brick masonry in mud mortar without timber posts single family,3,0,0.0083,0.00007,13,250,230,200
HN-GD,avsUFB2,Unreinforced brick masonry in mud mortar with timber posts single family,6,0,0.0154,0.00008,14,270,250,215
HN-GD,avmRS,Rubble Stone masonry multi family,0,0,0,0.00009,15,,,
HN-GD,avsUFB3,Unreinforced fired brick masonry in lime mortar single family,3,0,0.0065,0.00008,16,280,270,225
HN-GD,avsUFB4,Unreinforced fired brick masonry in cement mortar single family,1,0,0.0024,0.00008,17,320,290,260
HN-GD,avmUFB2,Unreinforced brick masonry in mud mortar with timber posts multi family,0,0,0.0002,0.00008,18,290,275,215
HN-GD,avmUFB3,Unreinforced fired brick masonry in lime mortar multi family,0,0,0.0003,0.00009,19,310,295,230
HN-GD,avmUFB1,Unreinforced brick masonry in mud mortar without timber posts multi family,0,0,0.0001,0.00008,20,275,255,195
HN-GD,avmUFB4,Unreinforced fired brick masonry in cement mortar multi family,0,0,0.0002,0.00009,21,350,320,245
HN-GD,avsW1,Wood stud-wall frame with plywood/gypsum board sheathing single family,34,0,0.0242,0.00002,22,,,
HN-GD,avmW1,Wood stud-wall frame with plywood/gypsum board sheathing multi family,1,0,0.0004,0.00002,23,,,
HN-GD,avcomm,Commercial or other types of warehouse,7,0,0.001,0,24,,,
HN-GD,avcomoff,Commercial offices,4,0,0.0006,0,25,,,
HN-GD,avcritica,"Critical buildings - schools, hospitals, medical centers",5,0,0.0008,0,26,,,
HN-GD,avcomret,Commercial retail,2,0,0.0002,0,27,,,
HN-GD,avmC3,Non ductile reinforced concrete frame with masonry infill walls multi family and/or concrete frame high rise,0,0,0.0001,0.00001,28,360,335,310
HN-GD,avindustr,General industrial,3,0,0.0004,0,29,,,
HN-IN,avsA1,"Adobe block, mud mortar, wood
roof and floors single family",34,0.19,0.3922,0.00549,1,145,130,115
HN-IN,avsINF,Informal constructions single family,0,0,0.0034,0.00518,2,,,
HN-IN,avmA1,"Adobe block, mud mortar, wood roof and floors multi family",0,0,0.002,0.00478,3,160,150,120
HN-IN,avmW7,Wood braced frame with load-bearing infill wall system multi family,0,0,0,0.00546,4,,,
HN-IN,avsW7,Wood braced frame with load-bearing infill wall system single family,12,0.06,0.1303,0.00535,5,,,
HN-IN,avsRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms single family,54,0.1,0.2118,0.00188,6,,,
HN-IN,avmRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms multi family,3,0,0.0097,0.00175,7,,,
HN-IN,avsRM2,Reinforced masonry bearing walls with concrete diaphragms single family,19,0.04,0.0732,0.00181,8,300,280,260
HN-IN,avmRM2,Reinforced masonry bearing walls with concrete diaphragms multi family,3,0.01,0.0122,0.00173,9,330,310,290
HN-IN,avsRS,Rubble Stone masonry single family,1,0,0.0023,0.00197,10,,,
HN-IN,avsRS5,Local field stones with cement mortar and reinforced concrete bond beams single family,0,0,0.0002,0.00189,11,,,
HN-IN,avmRS5,Local field stones with cement mortar and reinforced concrete bond beams multi family,0,0,0,0.00173,12,,,
HN-IN,avsUFB1,Unreinforced brick masonry in mud mortar without timber posts single family,2,0,0.0094,0.00187,13,250,230,200
HN-IN,avsUFB2,Unreinforced brick masonry in mud mortar with timber posts single family,5,0.01,0.019,0.00185,14,270,250,215
HN-IN,avmRS,Rubble Stone masonry multi family,0,0,0.0001,0.00174,15,,,
HN-IN,avsUFB3,Unreinforced fired brick masonry in lime mortar single family,3,0.01,0.012,0.00178,16,280,270,225
HN-IN,avsUFB4,Unreinforced fired brick masonry in cement mortar single family,1,0,0.0044,0.00179,17,320,290,260
HN-IN,avmUFB2,Unreinforced brick masonry in mud mortar with timber posts multi family,0,0,0.0004,0.00175,18,290,275,215
HN-IN,avmUFB3,Unreinforced fired brick masonry in lime mortar multi family,0,0,0.001,0.00174,19,310,295,230
HN-IN,avmUFB1,Unreinforced brick masonry in mud mortar without timber posts multi family,0,0,0.0002,0.00175,20,275,255,195
HN-IN,avmUFB4,Unreinforced fired brick masonry in cement mortar multi family,0,0,0.0006,0.00173,21,350,320,245
HN-IN,avsW1,Wood stud-wall frame with plywood/gypsum board sheathing single family,14,0.02,0.0491,0.00171,22,,,
HN-IN,avmW1,Wood stud-wall frame with plywood/gypsum board sheathing multi family,1,0,0.0019,0.00155,23,,,
HN-IN,avcomm,Commercial or other types of warehouse,14,0.01,0.0193,0.00066,24,,,
HN-IN,avcomoff,Commercial offices,9,0.01,0.0124,0.00063,25,,,
HN-IN,avcritica,"Critical buildings - schools, hospitals, medical centers",14,0.01,0.0177,0.00062,26,,,
HN-IN,avcomret,Commercial retail,5,0,0.0066,0.00059,27,,,
HN-IN,avmC3,Non ductile reinforced concrete frame with masonry infill walls multi family and/or concrete frame high rise,1,0,0.0008,0.00058,28,360,335,310
HN-IN,avindustr,General industrial,7,0,0.0077,0.00053,29,,,
HN-IB,avsA1,"Adobe block, mud mortar, wood
roof and floors single family",25,0.02,0.4899,0.00092,1,145,130,115
HN-IB,avsINF,Informal constructions single family,0,0,0.0038,0.00092,2,,,
HN-IB,avmA1,"Adobe block, mud mortar, wood roof and floors multi family",0,0,0.0018,0.00091,3,160,150,120
HN-IB,avmW7,Wood braced frame with load-bearing infill wall system multi family,0,0,0,0.00041,4,,,
HN-IB,avsW7,Wood braced frame with load-bearing infill wall system single family,9,0,0.0776,0.00041,5,,,
HN-IB,avsRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms single family,30,0.01,0.2324,0.00036,6,,,
HN-IB,avmRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms multi family,1,0,0.0087,0.00036,7,,,
HN-IB,avsRM2,Reinforced masonry bearing walls with concrete diaphragms single family,9,0,0.0722,0.00036,8,300,280,260
HN-IB,avmRM2,Reinforced masonry bearing walls with concrete diaphragms multi family,1,0,0.0104,0.00036,9,330,310,290
HN-IB,avsRS,Rubble Stone masonry single family,0,0,0.0028,0.00037,10,,,
HN-IB,avsRS5,Local field stones with cement mortar and reinforced concrete bond beams single family,0,0,0.0002,0.00036,11,,,
HN-IB,avmRS5,Local field stones with cement mortar and reinforced concrete bond beams multi family,0,0,0,0.00036,12,,,
HN-IB,avsUFB1,Unreinforced brick masonry in mud mortar without timber posts single family,1,0,0.0101,0.00036,13,250,230,200
HN-IB,avsUFB2,Unreinforced brick masonry in mud mortar with timber posts single family,3,0,0.0199,0.00036,14,270,250,215
HN-IB,avmRS,Rubble Stone masonry multi family,0,0,0.0001,0.00036,15,,,
HN-IB,avsUFB3,Unreinforced fired brick masonry in lime mortar single family,1,0,0.0113,0.00036,16,280,270,225
HN-IB,avsUFB4,Unreinforced fired brick masonry in cement mortar single family,1,0,0.0041,0.00036,17,320,290,260
HN-IB,avmUFB2,Unreinforced brick masonry in mud mortar with timber posts multi family,0,0,0.0004,0.00036,18,290,275,215
HN-IB,avmUFB3,Unreinforced fired brick masonry in lime mortar multi family,0,0,0.0009,0.00036,19,310,295,230
HN-IB,avmUFB1,Unreinforced brick masonry in mud mortar without timber posts multi family,0,0,0.0002,0.00036,20,275,255,195
HN-IB,avmUFB4,Unreinforced fired brick masonry in cement mortar multi family,0,0,0.0005,0.00036,21,350,320,245
HN-IB,avsW1,Wood stud-wall frame with plywood/gypsum board sheathing single family,9,0,0.0277,0.00014,22,,,
HN-IB,avmW1,Wood stud-wall frame with plywood/gypsum board sheathing multi family,0,0,0.0008,0.00014,23,,,
HN-IB,avcomm,Commercial or other types of warehouse,6,0,0.0065,0.00005,24,,,
HN-IB,avcomoff,Commercial offices,4,0,0.0047,0.00005,25,,,
HN-IB,avcritica,"Critical buildings - schools, hospitals, medical centers",6,0,0.0069,0.00005,26,,,
HN-IB,avcomret,Commercial retail,3,0,0.0029,0.00005,27,,,
HN-IB,avmC3,Non ductile reinforced concrete frame with masonry infill walls multi family and/or concrete frame high rise,0,0,0.0003,0.00005,28,360,335,310
HN-IB,avindustr,General industrial,3,0,0.0028,0.00004,29,,,
HN-LP,avsA1,"Adobe block, mud mortar, wood
roof and floors single family",41,0.15,0.3703,0.00368,1,145,130,115
HN-LP,avsINF,Informal constructions single family,0,0,0.0032,0.00342,2,,,
HN-LP,avmA1,"Adobe block, mud mortar, wood roof and floors multi family",0,0,0.002,0.00312,3,160,150,120
